"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",25-34,female,39969,61776,2370,1,3075,THB,2738.55433219,793,,35,12,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",25-34,male,23296,33166,1072,,1333,THB,1247.94387276,397,2,21,8,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",35-44,female,13232,19580,884,,1092,THB,1151.01124173,443,1,10,7,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",35-44,male,6464,10101,374,,461,THB,542.77473246,212,,10,6,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring (New Store)  |24 - 30 ARP 2025",45-54,female,5376,7948,461,1,577,THB,536.57456417,288,3,2,4,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",25-34,male,9648,11319,6343,,166,THB,483.99,12,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",25-34,female,7344,8893,5816,1,138,THB,425.37,17,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",55-64,female,7408,9062,6112,,198,THB,415.73,45,1,2,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",45-54,female,7328,7881,4998,1,160,THB,341.86,42,,,,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",25-34,male,1984,4319,193,,233,THB,326.26,160,,1,1,,,2025-04-01,2025-04-30
"3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025","3021 | BU DIA | Engage | D'Ultimate : Buy 1 Get 1| 4 - 13 ARP 2025",35-44,male,6928,8062,4302,,123,THB,321.75,16,,,,,,2025-04-01,2025-04-30
