"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,female,25761,75898,4956,1,1570,THB,8403.12,4248,4,28,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,female,80518,213183,6815,5,8823,THB,7166.14534956,1647,1,48,49,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,female,45737,127087,4662,3,5786,THB,4771.23356175,1042,4,18,34,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,female,9304,30760,1272,4,912,THB,2236.51,1102,15,4,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",25-34,female,8055,11743,1375,,149,THB,2166.99,1229,,4,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,male,5415,14645,1077,,547,THB,1892.57,977,,6,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",25-34,female,16062,32328,1959,1,2517,THB,1749.27800347,869,2,19,5,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",25-34,female,11930,17710,968,,1207,THB,1260.49483656,778,1,7,5,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",35-44,female,8093,16691,1119,,1351,THB,1063.80960004,601,1,8,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",25-34,male,9316,23340,1037,1,1277,THB,893.18066676,396,1,4,8,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",35-44,female,7753,11596,728,1,915,THB,860.41425746,525,5,2,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | Engage IG | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,male,2347,7720,402,,332,THB,737.27,346,4,8,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",45-54,female,3721,7515,618,,735,THB,540.76029615,372,,3,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",25-34,male,1661,2305,360,,23,THB,539.07,335,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage | The way to say love you this mother’s day | 1-16 Aug 2025","3021 | BU D’Ultimate | FB- Engage | The way to say love you this mother’s day | 1-16 Aug 2025",35-44,male,4480,11823,520,2,634,THB,506.25037792,236,,13,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",45-54,female,4039,6115,450,,604,THB,468.11407857,274,3,,1,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",25-34,male,3086,7184,489,,615,THB,425.54384114,297,2,1,4,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage IG | Orbit of Love | 17-24 Aug 2025",35-44,female,1236,1959,255,1,24,THB,330.18,237,,,,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",35-44,male,1978,4439,379,,442,THB,314.86764049,241,1,6,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025","3021 | BU D’Ultimate | Engage FB | Orbit of Love | 17-24 Aug 2025",25-34,male,2187,3630,263,1,294,THB,290.27493098,205,1,3,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",18-24,female,2294,4564,262,,363,THB,229.50285792,118,,4,2,,,2025-08-01,2025-08-31
"3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025","3021 | BU D’Ultimate | Engage FB | Buy1 Get1 | 23-31 Aug 2025",55-64,female,1547,3096,244,1,313,THB,222.13244499,129,,3,,,,2025-08-01,2025-08-31
