"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",25-34,female,12410,25766,2023,1,2420,THB,1291.56921082,1045,,35,5,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",35-44,female,9326,19323,1649,3,1856,THB,1074.13180098,960,2,26,6,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",45-54,female,6322,12707,1267,,1433,THB,765.88788693,769,3,7,1,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",25-34,male,4956,9713,837,,869,THB,521.81977155,599,1,17,4,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",35-44,male,3205,6968,630,,694,THB,408.47420663,470,,10,2,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",55-64,female,2541,5196,486,,564,THB,307.79373308,368,1,3,1,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",45-54,male,2033,4158,435,,427,THB,279.09219506,337,,7,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",65+,female,1185,2297,236,,245,THB,153.28161921,175,,3,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",55-64,male,806,1856,161,,162,THB,113.90579013,133,,,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",65+,male,449,997,85,,86,THB,63.60556944,70,,1,1,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",25-34,unknown,96,188,14,,20,THB,8.9335913,10,,,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",35-44,unknown,60,132,11,,10,THB,7.09285133,7,,,1,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",45-54,unknown,22,49,6,,6,THB,3.8415443,5,,,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",55-64,unknown,6,6,,,0,THB,0.5102051,,,,,,,2025-12-01,2025-12-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Dec 2025","แหวนคู่ 39,900.- | 1-31 Dec 2025",65+,unknown,3,3,,,0,THB,0.06002413,,,,,,,2025-12-01,2025-12-31
