"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",18-24,female,75382,77865,2665,,65,THB,720.43647024,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",25-34,male,83574,85225,4777,,166,THB,708.83777482,32,,1,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",18-24,male,66652,67732,2242,,61,THB,626.23964073,5,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",55-64,female,231,344,59,1,11,THB,556.297355,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",35-44,male,51578,56700,3499,2,88,THB,469.6155246,15,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",25-34,male,46325,50406,1617,,52,THB,467.9770183,4,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",25-34,female,851,1617,208,2,31,THB,363.81211065,2,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",45-54,male,38651,40903,3356,,66,THB,341.19042191,9,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",35-44,female,595,1007,170,2,24,THB,322.17530248,2,,1,,,,2025-02-01,2025-02-28
"3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,female,5083,9003,978,3,1472,THB,314.02651226,80,,10,9,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | IG | 7-14 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 7-14 FEB 2025",25-34,female,28929,29332,1085,,29,THB,274.57479637,3,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",35-44,male,389,609,87,1,11,THB,231.17227864,,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025","3021 | BU DIA | D*ULTIMATE คลิป Reels Find your promise of love | 1-8 FEB 2025",55-64,male,25405,27113,2698,,61,THB,223.05412572,11,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",45-54,female,257,473,102,2,20,THB,216.42340927,1,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",55-64,male,227,372,78,2,5,THB,214.10358711,2,,,,,,2025-02-01,2025-02-28
"3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025","3021 | BU DIA | MSG | D*ULTIMATE : Valentine Gift ราคาเริ่มต้น 9.900 บาท | 13-17 FEB 2025",25-34,male,633,872,113,2,18,THB,185.86575178,3,,,,,,2025-02-01,2025-02-28
