"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",25-34,female,31670,56916,2602,1,3341,THB,1564.98487932,232,,30,20,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",25-34,female,5616,8259,889,1,82,THB,1385.80243229,798,,4,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",18-24,female,4956,6912,818,,84,THB,1188.35923623,718,,14,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",35-44,female,18477,33252,1932,3,2412,THB,1056.43584371,183,1,12,18,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",25-34,male,2292,3458,484,,42,THB,728.87179841,441,,3,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",25-34,male,14442,26182,875,,1123,THB,597.66194934,88,,15,10,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",18-24,male,1768,2790,375,,28,THB,561.15908361,342,,4,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",45-54,female,7653,13121,741,,943,THB,478.888095,92,1,2,3,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine(New)  | 22-31 Jul 2025",35-44,female,1440,2215,240,,18,THB,346.74561285,225,,1,,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",18-24,female,10887,16246,429,2,562,THB,346.50463227,46,,5,6,,,2025-07-01,2025-07-31
"3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025","3021 | BU DIA | Engage | Your Time to Shine | 1-7 Jul 2025",35-44,male,5508,10458,406,,525,THB,272.4423443,69,,2,2,,,2025-07-01,2025-07-31
