"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",25-34,female,41123,85426,4111,1,5117,THB,2033.49306219,568,3,42,14,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",35-44,female,24162,48643,2093,,2627,THB,1084.18964269,377,,5,10,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,female,18336,30543,2077,2,2600,THB,925.11766255,261,,9,9,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,female,11904,20627,1482,3,1800,THB,712.1505027,198,2,2,7,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",45-54,female,13857,30620,1022,2,1255,THB,598.57323995,296,,2,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",25-34,female,8017,14263,527,,660,THB,484.86394132,315,,8,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",25-34,male,13665,28807,989,2,1250,THB,482.32649486,220,,12,9,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",45-54,female,5856,10320,885,,1096,THB,396.30471484,126,1,,3,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",18-24,female,8128,12142,667,,846,THB,313.43581999,78,,7,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",25-34,male,5577,9768,303,,398,THB,287.37011641,165,,7,3,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",35-44,female,3449,6573,314,,375,THB,279.15954166,225,,3,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",55-64,female,8321,16574,365,,472,THB,238.09333339,118,,1,2,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",35-44,male,6625,14090,463,1,568,THB,229.08358566,166,,2,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",18-24,female,5785,8807,243,,301,THB,212.24485751,120,,8,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",25-34,male,3552,6114,387,1,500,THB,173.81768195,71,,3,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",35-44,male,2168,4340,172,,212,THB,160.70124937,113,,2,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",45-54,female,1896,3563,187,,223,THB,154.51081603,142,,1,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",55-64,female,2080,3604,326,,394,THB,151.85797481,34,,,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",45-54,male,3712,7971,232,2,288,THB,119.39665689,95,,,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",18-24,male,3449,5335,97,,120,THB,113.63795486,47,,3,1,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025","3021 | BU DIA | Engage | D'Ultimate : Pride Month | 1 - 15 JUNE 2025",65+,female,3648,8143,160,,198,THB,105.9570332,67,,3,,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Unlock the Sparkle |  16-23 June 2025","3021 | BU DIA | Engage | D'Ultimate : Wedding Ring 29,900 |  21-28 FEB 2025",35-44,male,1488,3049,211,,273,THB,98.00869295,67,,,4,,,2025-06-01,2025-06-30
"3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025","3021 | BU DIA | Engage | Special Offer at Future Park Rangsit | 24-30 June 2025",45-54,male,808,2346,105,,124,THB,94.37660653,85,,,,,,2025-06-01,2025-06-30
