"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",25-34,male,87738,154056,8585,,771,THB,2628.96322119,2,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",25-34,female,68923,125094,6838,,628,THB,2079.69388769,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",25-34,female,18784,34801,2138,,3020,THB,1259.27574103,594,1,20,10,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",35-44,female,11520,19766,1399,1,1932,THB,838.81048518,530,4,5,3,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",45-54,female,8832,13867,1040,,1400,THB,663.01828777,557,1,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",35-44,male,17087,30567,1696,,157,THB,537.72997776,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025","3021 | BU DIA | Engage | D*ULTIMATE : VDO D*ULTIMATE  | 01-10 MAR 2025",35-44,female,14783,24869,1416,,123,THB,428.45607868,1,,,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",55-64,female,4544,7096,508,,717,THB,347.87434845,312,,1,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",35-44,female,3968,6355,183,1,255,THB,315.56,35,,1,1,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025","3021 | BU DIA | Engage | D'ULTIMATE : New Store Future Park | 28 MAR - 6 APR 2025",25-34,female,3824,6081,133,,193,THB,266.33,34,,1,,,,2025-03-01,2025-03-31
"3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025","3021 | BU DIA | Engage | D'Ultimate : BEYOND D COLOR 39,900.- |  11-23 MAR 2025",25-34,male,3264,5957,410,1,514,THB,252.78315981,246,,9,1,,,2025-03-01,2025-03-31
