"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",25-34,female,35472,68261,3128,6,4095,THB,2391.85594571,922,,49,20,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",25-34,female,25964,42432,2126,2,2706,THB,1691.55129189,631,,27,10,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",25-34,male,17168,31574,1324,2,1671,THB,981.28654191,470,1,21,10,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",35-44,female,12640,23924,1343,,1671,THB,974.12649418,585,4,9,11,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",35-44,female,9418,15163,854,,1004,THB,695.58305609,390,1,10,8,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",45-54,female,5664,11040,702,1,874,THB,529.65353102,444,3,3,4,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",25-34,male,8249,13775,621,2,774,THB,504.86786162,223,1,11,3,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",35-44,male,5456,11533,619,,765,THB,447.06298042,331,1,4,3,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",45-54,female,5045,8706,506,,613,THB,444.20893187,284,,4,4,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",35-44,male,3027,5199,237,1,284,THB,226.60864392,119,1,3,3,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",45-54,male,2512,4982,339,1,413,THB,224.46149641,217,,3,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",55-64,female,2016,3872,234,,309,THB,186.52124347,150,,8,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",55-64,female,1842,3175,186,,217,THB,161.80047141,103,1,3,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",45-54,male,1618,2297,139,,179,THB,122.2876825,91,,1,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",55-64,male,880,1875,123,,156,THB,95.39063594,87,1,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",65+,female,1136,2158,119,1,162,THB,92.250615,66,,1,1,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",65+,female,929,1509,86,,104,THB,70.87706494,43,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",65+,male,640,1144,62,,81,THB,48.1203208,39,1,1,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",55-64,male,304,855,58,,66,THB,45.24174338,35,1,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",65+,male,416,495,22,,29,THB,21.21612806,17,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",25-34,unknown,368,493,32,,43,THB,16.8301122,9,,,1,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",25-34,unknown,208,211,7,,10,THB,7.30866617,2,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",35-44,unknown,96,205,11,,15,THB,6.23004153,3,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",45-54,unknown,48,86,5,,12,THB,5.38003587,2,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",35-44,unknown,0,87,2,,3,THB,4.88910774,1,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",45-54,unknown,16,49,4,,5,THB,2.94946172,2,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",65+,unknown,0,15,,,0,THB,0.50000333,,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025","3021 | BU DIA | Engage | D'Ultimate : RING Buy 1 Get 1 | 20 - 31 MAY 2025",55-64,unknown,0,13,,,0,THB,0.3300022,,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",65+,unknown,11,11,,,0,THB,0.30994344,,,,,,,2025-05-01,2025-05-31
"3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025","3021 | BU DIA | Engage | D'Ultimate HIS & HER | 1-7 MAY 2025",55-64,unknown,0,11,2,,2,THB,0.29994526,,,,,,,2025-05-01,2025-05-31
