"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",35-44,female,18920,42643,2683,,3379,THB,2151.04988338,1235,,20,5,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",25-34,female,7732,14600,1583,1,181,THB,1913.93554537,1411,,5,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",25-34,female,16594,37892,2158,1,2823,THB,1665.94979202,828,,23,12,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",25-34,male,5277,11143,1288,1,130,THB,1417.47448265,1161,,2,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,female,3074,8279,321,3,85,THB,919.53,244,,2,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",35-44,female,3927,7295,752,1,67,THB,880.9141418,686,,2,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,female,30612,92746,597,4,602,THB,772.88247863,129,,1,1,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,male,28848,92488,604,6,592,THB,736.78189576,146,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",35-44,male,2880,5785,576,,41,THB,724.39695942,536,,1,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",35-44,male,5639,12950,853,,985,THB,675.39289124,552,,6,2,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,male,2012,6039,200,,46,THB,673.73,160,,2,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,female,1906,5443,173,1,35,THB,552.08,142,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,male,18471,58588,422,1,426,THB,519.53838824,123,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",25-34,male,4716,10692,610,,701,THB,483.62960607,386,,12,3,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,female,18662,52972,312,1,318,THB,440.75711627,57,,1,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,male,1093,2895,90,,18,THB,313.96,73,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",25-34,unknown,147,293,37,,4,THB,36.81933718,33,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",35-44,unknown,103,194,28,,2,THB,25.58953934,26,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,unknown,58,186,6,,2,THB,20.22,4,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,unknown,51,135,3,,0,THB,18.58,3,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",35-44,unknown,119,282,24,,25,THB,15.0649717,7,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 10-30 Nov 2025","buy 1 get 1 | 10-30 Nov 2025",25-34,unknown,96,195,7,,9,THB,8.65285559,5,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",35-44,unknown,141,403,4,,5,THB,3.96006394,2,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage FB | เปิดสาขา เซนทรัลอุดรธานี  | 6-14 Nov 2025","เปิดสาขา เซนทรัลอุดรธานี  | 6-30 Nov 2025",25-34,unknown,114,349,4,,4,THB,3.54005716,1,,,,,,2025-11-01,2025-11-30
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1 | 10-30 Nov 2025","buy 1 get 1  | 10-30 Nov 2025",Unknown,male,1,1,1,,0,THB,0.31999424,1,,,,,,2025-11-01,2025-11-30
