"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,male,33789,48656,21984,1,277,THB,1264.23045667,109,,3,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,female,12241,24063,1085,,1169,THB,952.70618914,754,1,18,1,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,female,2953,5667,619,,8,THB,913.03981114,610,,3,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,female,18501,23732,12630,,16,THB,705.37717849,8,,1,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,female,10657,20039,788,,879,THB,703.07718767,520,,8,3,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,male,21182,30202,10189,,46,THB,701.75719297,8,,2,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,male,19691,27019,11726,,146,THB,684.06189068,42,,1,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,female,1992,4240,437,,6,THB,627.97235882,429,,4,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,male,15466,23755,7799,,40,THB,548.75780497,15,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,female,13066,17670,8514,,22,THB,518.11792753,11,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,male,1372,2617,352,,4,THB,517.72721143,345,,2,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,male,5630,11092,472,,495,THB,462.29815079,357,1,13,3,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,male,1088,2199,275,,0,THB,397.56250067,272,,3,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,male,5555,10752,433,,467,THB,368.66852531,301,,5,5,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,female,7246,8955,4617,,63,THB,304.35973982,23,,2,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,female,5547,6619,3609,,42,THB,236.65757328,12,,1,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,unknown,48,87,20,,0,THB,23.44896786,20,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,unknown,45,89,15,,1,THB,19.30915008,15,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,unknown,319,494,206,,0,THB,13.15994736,1,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage IG | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,unknown,357,483,191,,0,THB,12.82994868,1,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",35-44,unknown,160,227,113,,1,THB,7.17022945,,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",35-44,unknown,78,148,7,,8,THB,7.11997152,3,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB |  buy 1 get 1  | 23-31 Oct 2025","buy 1 get 1  | 23-31 Oct 2025",25-34,unknown,90,164,6,,8,THB,6.10997556,5,,,,,,2025-10-01,2025-10-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 23-31 Oct 2025","Craftmanship | 23-31 Oct 2025",25-34,unknown,83,110,57,,0,THB,3.44011009,,,,,,,2025-10-01,2025-10-31
