"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",25-34,female,11010,24313,3506,,331,THB,4824.63164638,3181,2,14,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",25-34,female,2593,9641,429,6,127,THB,2060.26852376,13,,2,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,female,16532,31082,2729,2,2694,THB,1607.21364979,1083,,17,17,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",25-34,male,3212,6575,1115,1,62,THB,1553.93820796,1052,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,male,3765,9938,1049,,563,THB,1304.3288586,1005,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,male,6391,22575,758,,704,THB,1037.5175876,575,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,female,3350,7137,878,1,344,THB,1013.13036918,822,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,female,10873,19908,1701,1,1532,THB,993.95880409,782,1,12,3,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",25-34,male,1554,4809,182,2,41,THB,926.36940918,8,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,female,8103,25270,662,,640,THB,889.97036832,446,4,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",35-44,female,900,2850,205,5,44,THB,835.40830438,18,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,female,13960,19101,515,,512,THB,801.41020379,41,,17,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",25-34,female,3740,7174,156,4,199,THB,720.08235383,13,,1,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",35-44,female,1796,4000,515,1,34,THB,716.59066701,485,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,female,7954,13963,1544,2,1069,THB,682.55273314,645,,4,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,female,8421,14714,10578,,175,THB,647.35900621,32,,2,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,male,7106,13182,1335,1,959,THB,633.90739379,614,2,10,3,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",25-34,male,3810,6517,96,11,94,THB,605.33703581,7,1,2,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,female,7235,13210,9408,,156,THB,562.24256275,22,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,female,3243,9291,381,,376,THB,516.26536172,289,1,1,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",18-24,female,6238,11053,1064,2,907,THB,496.33026489,374,,15,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",35-44,female,2180,4006,94,2,93,THB,474.69652213,4,,2,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",65+,female,1280,2048,52,3,55,THB,470.70772775,6,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,male,5116,9140,913,,605,THB,442.90128409,450,,7,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,male,2000,6522,314,,274,THB,423.93342194,252,1,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,male,1079,2383,334,,230,THB,420.45450263,328,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",18-24,male,2362,4129,45,5,66,THB,391.73159843,6,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,female,958,2064,277,,195,THB,360.79095882,273,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,male,889,2733,276,,136,THB,344.42273002,267,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,male,17307,34221,300,,307,THB,323.42144854,156,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,female,1134,2346,292,,89,THB,320.69529757,264,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,female,4649,7142,998,,447,THB,304.68500476,262,,4,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",35-44,male,662,1425,231,,11,THB,299.58491952,221,1,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,female,3761,7455,5268,,109,THB,295.67238292,26,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",18-24,female,7590,10502,180,,153,THB,294.203716,20,,8,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",25-34,female,14061,27453,261,,290,THB,293.71223407,125,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",45-54,female,1478,2512,41,2,34,THB,291.4719021,7,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",45-54,male,3814,6264,857,,343,THB,282.274793,288,1,2,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,female,1813,2361,199,,44,THB,270.65,177,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",65+,male,1487,2151,23,4,22,THB,265.70968877,3,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,female,11266,21662,222,2,260,THB,257.75318485,98,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",35-44,male,546,1802,117,2,26,THB,252.1053463,6,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",45-54,male,1709,2434,41,3,30,THB,250.66423629,4,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",35-44,male,2229,3735,71,1,70,THB,248.60485874,12,,2,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",35-44,female,2166,3076,65,,116,THB,240.18182096,52,,1,56,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",55-64,female,1714,2765,40,3,42,THB,238.79782293,6,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",55-64,male,1872,2663,35,3,39,THB,234.47912827,5,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",45-54,female,581,1340,179,,9,THB,227.48038081,171,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,female,1122,2602,192,,181,THB,219.42202292,155,4,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",35-44,male,12576,25655,185,1,189,THB,214.30433366,104,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,female,3691,4660,123,,148,THB,212.07458991,17,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,female,1168,1626,186,,29,THB,210.43,170,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,female,8612,17627,197,1,210,THB,208.12449706,85,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",35-44,male,2307,3415,70,,102,THB,196.34464891,54,,1,48,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,male,4520,5982,105,,135,THB,193.18159736,11,,5,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",25-34,male,1100,1656,159,,48,THB,188.84,145,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,female,488,943,145,,114,THB,187.22973987,142,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,female,2025,2681,48,,88,THB,182.40053821,40,,,48,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",18-24,male,2557,4285,510,,261,THB,179.35160118,139,,8,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,male,2722,3603,43,,74,THB,168.64593974,32,1,,27,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",18-24,female,1036,2276,16,1,36,THB,168.43908899,2,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",65+,female,2471,4016,557,,206,THB,165.00067681,116,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",45-54,male,387,797,139,,90,THB,161.83248811,135,,2,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",45-54,female,323,790,65,,11,THB,153.1650218,3,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",55-64,female,1169,1634,39,,64,THB,140.26897626,33,,2,32,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",45-54,female,1141,1571,39,,56,THB,138.20429034,36,1,,33,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,female,6760,14817,123,,129,THB,135.33642162,62,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,female,1765,3574,2496,,62,THB,134.98021824,17,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,male,8653,17904,121,1,124,THB,131.71651733,65,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",55-64,male,2201,3272,614,,140,THB,128.94859817,109,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,male,2045,3329,2087,,53,THB,128.279711,22,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",25-34,female,2258,2745,72,,67,THB,122.34,4,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",45-54,male,257,556,82,,0,THB,119.59824719,82,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",45-54,male,788,1102,40,,59,THB,118.42519769,34,,,33,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",35-44,unknown,35,46,4,1,4,THB,112.66594652,,,2,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,male,542,1439,91,,89,THB,105.73351259,77,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,male,535,858,80,,19,THB,95.84,72,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,male,2120,2756,43,,64,THB,95.17357473,9,,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",35-44,male,1634,2540,1607,,48,THB,93.9371112,22,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",25-34,female,806,1278,24,,43,THB,92.90748828,18,,2,25,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",55-64,female,123,301,30,3,9,THB,92.6309415,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",55-64,female,231,434,69,,55,THB,88.87038334,67,1,1,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",65+,female,4329,9766,74,,80,THB,86.19772088,37,,,1,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",45-54,male,544,1313,78,,72,THB,85.66613137,68,1,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",18-24,female,709,1784,58,,60,THB,85.53621307,39,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,male,6006,13257,85,2,82,THB,84.56776398,40,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage FB | grand opening central hatyai | 4-15 Sep 68",55-64,female,534,1222,91,,83,THB,83.59743221,75,2,1,,,,2025-09-01,2025-09-30
