"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,female,10376,20738,277,1,421,THB,1920.50584845,97,,1,6,,15,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,female,13058,27224,221,1,361,THB,1709.95447764,64,1,1,11,,15,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,male,6844,14587,197,1,243,THB,1119.952397,75,,4,6,,4,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,female,4755,9104,133,1,212,THB,1106.60533709,35,,1,2,,5,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,male,4621,9240,114,2,153,THB,925.81971083,33,,,1,,4,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",55-64,male,80383,108607,85,1,128,THB,752.04390065,35,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",45-54,male,80799,110755,78,,110,THB,743.91342603,16,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",25-34,male,76446,95446,68,,97,THB,664.64879895,22,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",35-44,male,82840,99364,73,,100,THB,650.1279513,15,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,male,2530,5187,55,,98,THB,642.12965344,18,1,1,3,,6,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,male,1061,2678,66,,70,THB,579.2477312,37,1,2,2,,2,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",55-64,female,66965,85909,77,,117,THB,577.74372586,30,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,female,1314,2527,47,,80,THB,428.01639858,9,,,1,,5,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",45-54,female,55345,65151,74,2,104,THB,415.6942662,21,,,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,male,1238,2479,30,,48,THB,411.16748637,8,,,,,3,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,female,1196,2532,42,1,63,THB,411.15717885,25,,,,,1,2026-08-01,2026-08-18
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",65+,male,42919,57466,39,1,69,THB,386.86258315,15,,1,,,,2026-08-01,2026-08-18
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,female,1013,1966,55,,74,THB,359.64491215,32,,,1,,1,2026-08-01,2026-08-18
