"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",65+,female,36871,96581,26838,,1959,THB,2421.05484364,751,21,53,634,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",55-64,female,32794,76633,17662,,1563,THB,1841.86760783,745,32,47,501,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",25-34,male,9988,19502,3809,,689,THB,1671.91218966,364,3,24,379,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",35-44,female,10832,19814,4037,,702,THB,1546.2080399,341,4,30,369,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",35-44,male,9193,17407,3483,,626,THB,1535.10855647,364,6,37,317,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",25-34,female,10540,20487,3973,,624,THB,1327.94819765,280,8,19,300,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",45-54,male,6977,12912,2795,,496,THB,1262.29125331,297,11,33,279,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",45-54,female,9746,17618,3597,,526,THB,1183.36492652,289,12,18,263,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",45-54,female,21043,43652,9140,,937,THB,1106.68650315,577,8,26,270,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",65+,male,18669,43757,11820,,851,THB,979.51150159,342,14,43,289,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",25-34,female,16306,36523,8417,,785,THB,964.41209506,393,14,24,248,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",55-64,female,10018,18598,3452,,405,THB,888.54864719,210,21,9,189,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",55-64,male,14312,30430,7034,,643,THB,852.96647528,383,12,22,240,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",35-44,female,13603,29765,6156,,662,THB,832.58727626,364,11,18,201,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",35-44,male,9975,19548,4238,,531,THB,825.25756434,362,2,16,195,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",65+,female,8503,19028,3817,,401,THB,824.03164979,181,7,15,163,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",45-54,male,10597,21610,4700,,578,THB,815.1679609,382,11,29,210,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",55-64,male,5615,10155,1900,,292,THB,793.94305011,141,14,10,150,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",25-34,male,11050,22495,5278,,608,THB,766.7398643,377,2,37,214,,,2026-07-01,2026-07-31
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",65+,male,5460,11497,2179,,216,THB,472.53800821,96,1,9,91,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",55-64,female,58476,74512,59,,99,THB,448.36,52,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,female,54776,70319,35,,65,THB,410.44618478,28,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",55-64,male,55289,69167,25,,57,THB,402.20646212,17,,,1,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",55-64,male,53495,64043,38,,57,THB,364.57,36,,1,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",45-54,male,54589,64529,24,,49,THB,363.26777276,20,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",25-34,male,44513,52650,15,,30,THB,350.9,9,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",25-34,male,41153,50530,26,,43,THB,322.37914903,17,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",35-44,male,47707,55803,17,,34,THB,319.97922981,10,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,male,52809,58382,14,,31,THB,317.28,12,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,female,39402,49868,64,,110,THB,294.97,61,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",45-54,female,44149,51997,20,,45,THB,293.56,17,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",45-54,female,42384,50472,15,,34,THB,281.63052059,8,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",35-44,male,44099,50515,9,,25,THB,281.45,7,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,female,38380,48237,44,,70,THB,278.17063704,30,,,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | D*Sparkle โปร 59,800.- | 1-31 July 2026","Awareness - D*Sparkle โปร 59,800.- 1-31 July 2026",65+,male,37466,47122,31,,53,THB,269.88091607,24,,1,,,,2026-07-01,2026-07-31
"2201 | BU DUL | Awareness | Twice the Sparkle | 1-31 July 2026","Awareness - Twice the Sparkle - 1-31 July 2026",65+,male,35014,43094,27,,47,THB,239.36,26,,,,,,2026-07-01,2026-07-31
