"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",65+,female,41486,125179,468,,1371,THB,1236.63545812,439,7,15,432,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",55-64,female,22537,28016,19759,1,378,THB,1211.45480781,49,1,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,female,40383,111544,391,,1034,THB,1108.15385208,364,6,8,338,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,female,22584,54509,265,,675,THB,915.72144665,221,2,7,318,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,female,17434,21430,15101,,238,THB,905.84611762,23,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",35-44,female,20072,48226,232,,621,THB,876.25095326,205,2,5,307,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,female,27944,66582,263,,662,THB,846.24057813,230,1,6,274,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,male,79285,112556,58,,115,THB,786.77950747,44,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,male,84834,112510,47,,93,THB,770.72972151,33,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,male,14044,35803,247,,509,THB,768.8796111,210,1,9,269,,,2026-06-01,2026-06-30
