"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,female,19162,31301,4306,,14,THB,1541.13440817,1895,,13,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",25-34,female,9890,24931,2503,,11,THB,1523.83,1273,,10,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",25-34,male,19610,36284,2497,1,832,THB,1119.51079319,792,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,male,14198,20896,3561,,1570,THB,1086.29621073,1567,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,male,12656,22317,2599,,5,THB,1069.103058,1150,,5,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",25-34,female,7863,14500,379,5,209,THB,1038.33346245,8,,2,1,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage IG | Lifestyle reels  | 1-15 April 2026","Lifestyle reels | 1-15 April 2026",25-34,male,7223,17851,1655,,7,THB,1022.49,842,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",25-34,male,8043,12282,356,,267,THB,911.46104662,333,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",25-34,male,6606,9891,295,,219,THB,763.04152654,269,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle reels  | 1-15 April 2026","Lifestyle reels |  1-15 April 2026",25-34,female,11824,20032,1487,,486,THB,624.38928771,468,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | Lifestyle  | 16-30 April 2026","Lifestyle  | 16-30 April 2026",25-34,female,9002,12250,2405,1,983,THB,623.30356364,981,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",45-54,female,3641,5668,292,,242,THB,598.95119826,273,1,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",25-34,female,5497,8474,256,,205,THB,583.29266746,222,,2,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",25-34,female,5402,8130,256,,201,THB,575.97115229,236,,1,,,2026-04-01,2026-04-30
"2201 | BU DUL | Message FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",25-34,female,3578,6556,288,10,227,THB,569.66379819,8,,6,1,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | โปร 14,900.-  | 1-30 April 2026","โปร 14,900.-  | 1-30 April 2026",35-44,female,4224,6734,262,1,195,THB,550.85110203,231,,,,,2026-04-01,2026-04-30
"2201 | BU DUL | Engage FB | BOGO 52,500.-  | 1-30 April 2026","BOGO 52,500.-  | 1-30 April 2026",35-44,male,5054,7423,174,,134,THB,543.18042096,166,,,,,2026-04-01,2026-04-30
