"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,female,6285,10199,133,,207,THB,955.3166259,52,,,2,,5,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,female,6787,11385,108,1,178,THB,817.18650694,39,1,,6,,9,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,female,2995,4679,72,1,112,THB,594.4356843,20,,1,2,,2,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,male,3408,5994,102,,118,THB,533.84369918,38,,2,2,,2,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,male,2596,4231,46,1,58,THB,475.77262875,16,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",45-54,male,46445,54864,51,,67,THB,356.0124596,12,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",35-44,male,47718,53583,49,,67,THB,341.91692102,11,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",25-34,male,43193,48883,29,,41,THB,334.73900826,8,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,male,1535,2515,27,,42,THB,323.11723946,8,,1,,,3,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",55-64,male,41767,48174,48,1,61,THB,318.39098659,17,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,male,599,1267,37,,36,THB,237.75517457,19,1,2,1,,1,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",55-64,female,31546,35911,39,,54,THB,225.51860631,14,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",25-34,female,772,1457,27,1,43,THB,223.25460591,16,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,female,746,1202,22,,38,THB,197.1115197,6,,,1,,3,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,male,740,1274,20,,28,THB,188.36834734,5,,,,,2,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",45-54,female,27830,30642,43,,52,THB,183.06180294,13,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,female,750,1257,34,,49,THB,179.36180574,20,,,,,1,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",65+,male,23138,26704,22,,41,THB,170.61808529,7,,1,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",35-44,male,365,618,15,,18,THB,142.28808351,10,,,,,1,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",65+,female,18226,20915,22,,30,THB,123.35598468,5,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",35-44,female,19078,20761,16,,21,THB,119.84211107,3,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,female,316,526,14,,25,THB,103.8706018,7,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Awareness | Your Sparkling Moment 13,900.- | 1-31 Aug 2026","Awareness - Your Sparkling Moment 13,900.- | 1-31 Aug 2026",25-34,female,14072,15632,19,,25,THB,97.79780996,3,,,,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",45-54,male,162,301,9,,12,THB,94.85537966,5,,,1,,,2026-08-01,2026-08-10
"2201 | BU DUL | Lead Generation | เพชรแท้ครึ่งกะรัต 59,800.- | 1-31 Aug 2026","Lead Gen -  เพชรแท้ครึ่งกะรัต 59,800.-",55-64,male,77,141,3,1,3,THB,77.30628203,1,,,,,1,2026-08-01,2026-08-10
