"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,female,26549,47698,726,,91,THB,2738.81288148,656,1,6,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,male,18050,35148,668,1,75,THB,2435.74477576,603,,3,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",25-34,female,22049,35428,409,,87,THB,1365.68,336,,3,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,female,14312,33061,2772,,14,THB,1312.13875171,1289,,3,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,male,15640,27473,723,1,677,THB,1295.92708895,667,1,5,1,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,female,13005,24197,789,2,772,THB,1128.74908391,702,2,4,3,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,male,13098,30118,2709,,5,THB,1108.88049414,1258,,3,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,male,17733,34123,6379,,2670,THB,1045.68792669,2617,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",35-44,female,9636,18791,715,,692,THB,1021.88118179,628,2,4,1,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",25-34,male,14284,24341,301,,54,THB,988.2,259,,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",45-54,female,6353,12063,631,1,588,THB,948.38887063,590,4,1,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",35-44,male,9307,17260,457,,424,THB,863.60466789,421,,2,,,2026-02-01,2026-02-28
