"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",25-34,female,14776,32755,2631,3,3152,THB,1308.19240427,838,,52,7,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",25-34,female,5209,8398,1029,,97,THB,1155.34,936,1,7,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",35-44,female,10945,26314,2372,,2815,THB,1137.63340774,899,1,14,6,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,female,1904,2528,651,,57,THB,1018.23,594,,1,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG |  Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,male,1524,2076,606,,37,THB,866.98,568,,2,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",45-54,female,7217,16811,1692,2,2028,THB,829.3409953,670,2,6,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 15-31 Jan 2026","แหวนคู่ 39,900.- | 15-31 Jan 2026",25-34,male,2038,3602,491,1,44,THB,552.37,440,,1,,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",25-34,male,5193,11095,1004,,1126,THB,478.11128314,514,,21,2,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,female,3839,7034,549,,616,THB,413.51308992,380,,5,3,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",35-44,female,3293,6194,519,,595,THB,406.77255053,391,,3,1,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | Craftmanship | 15-31 Jan 2026","Craftmanship | 15-31 Jan 2026",25-34,male,3804,7046,565,,615,THB,400.45204475,376,2,6,1,,2026-01-01,2026-01-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-31 Jan 2026","แหวนคู่ 39,900.- | 1-31 Jan 2026",35-44,male,3236,7719,730,,809,THB,359.58113197,429,1,7,2,,2026-01-01,2026-01-31
