"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",65+,female,6505,12249,3674,,309,THB,367.02462784,141,5,7,110,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",55-64,female,5941,10238,2524,,261,THB,323.45047033,131,3,7,101,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",35-44,male,2293,3480,748,,162,THB,307.73354753,90,1,16,78,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",35-44,female,2450,3399,779,,160,THB,278.38118028,74,,10,83,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",25-34,male,2137,3436,730,,163,THB,277.66918231,88,1,3,92,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",45-54,female,1765,2470,658,,124,THB,230.42661241,80,1,6,68,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",45-54,male,1520,2278,525,,107,THB,227.8493803,59,2,3,64,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",45-54,female,3744,6425,1440,,184,THB,217.69048068,124,1,4,60,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | lifestyle reels  | 1-31 July 2026","Page Follower - lifestyle reels - 1-31 July 2026",25-34,female,2091,3032,637,,125,THB,199.06861707,66,1,4,57,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",25-34,female,3135,5347,1350,,144,THB,184.71435965,81,,2,52,,2026-07-01,2026-07-06
"2201 | BU DUL | Page Follower | The Sparkling Moment VDO   | 1-31 July 2026","Page Follower - The Sparkling Moment VDO - 1-31 July 2026",35-44,female,2758,4781,1077,,148,THB,181.34863162,88,3,6,56,,2026-07-01,2026-07-06
