"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",55-64,female,16118,18735,14253,1,255,THB,849.60207769,31,1,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,male,76762,108134,56,,114,THB,753.78005009,44,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,male,80376,108081,42,,86,THB,737.14232364,30,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,male,79911,96584,57,,105,THB,655.28430937,28,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,female,13077,14381,10926,,161,THB,636.81880054,14,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,male,75726,94594,41,,90,THB,631.34319128,21,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",55-64,female,64811,86611,52,,111,THB,602.56982914,36,1,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",65+,female,23306,54346,203,,583,THB,576.50469186,191,1,9,192,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,female,21469,47994,188,,471,THB,554.48381742,175,2,3,175,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",35-44,male,6838,14378,152,,269,THB,538.41588269,121,2,8,190,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,male,8088,17128,159,,295,THB,536.97517123,139,,4,183,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",35-44,female,10255,21221,127,,315,THB,534.28384219,113,2,5,191,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,female,11299,23327,143,,362,THB,530.45194991,118,,5,208,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",45-54,female,7964,9300,7147,,92,THB,487.87851192,8,1,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,male,54262,69352,24,,40,THB,480.88472432,19,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,female,14410,29059,135,,320,THB,474.45429692,114,,4,158,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",55-64,female,56004,68671,46,1,90,THB,473.44217492,32,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,male,53607,68687,23,,50,THB,466.53981055,14,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",35-44,male,6811,7771,6071,,83,THB,426.53720789,9,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,male,43933,61167,32,,81,THB,426.3980162,23,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",45-54,male,7126,8377,6322,,80,THB,425.78670254,9,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",55-64,male,7509,8765,6357,,75,THB,399.94930498,5,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,female,45158,56792,26,,49,THB,386.15932964,21,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,male,51040,59082,23,,38,THB,386.02222971,11,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",65+,female,40086,54205,30,,73,THB,381.59721103,27,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,male,44922,53305,22,,29,THB,357.48245358,10,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,male,6216,12591,96,,156,THB,341.39859082,73,3,8,105,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",25-34,male,5204,6002,4662,,79,THB,322.84738858,6,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,female,36651,44357,29,,64,THB,306.69505664,23,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,female,36450,43970,31,,47,THB,301.73335704,12,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",65+,male,10152,22790,73,,228,THB,295.61598227,68,,4,90,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",65+,male,29767,41004,26,,41,THB,279.8458596,20,1,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",55-64,male,8189,16540,81,,165,THB,267.2919952,71,1,6,82,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",65+,male,5174,6019,4374,,63,THB,266.48944008,2,,,1,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",35-44,female,3272,3821,3035,,45,THB,219.49779836,4,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,female,28854,31312,13,,31,THB,208.55685232,7,,,1,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,female,27716,30494,10,,23,THB,198.72228521,6,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",25-34,female,2545,2835,2242,,29,THB,158.82694577,2,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,female,21164,23321,17,,20,THB,151.69196122,8,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,female,19635,21939,10,,16,THB,143.57918223,2,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,unknown,122,257,6,,8,THB,26.42304834,5,,,4,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",35-44,unknown,97,175,2,,3,THB,15.30755924,2,,,4,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,unknown,479,574,,,0,THB,5.18240667,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,unknown,72,153,2,,3,THB,3.92193675,2,,,1,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,unknown,348,426,,,0,THB,2.79129626,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,unknown,272,380,,,0,THB,2.62121727,,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,unknown,281,348,2,,2,THB,2.43083267,1,,,,,2026-06-01,2026-06-18
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",45-54,unknown,231,328,,,0,THB,2.27077784,,,,,,2026-06-01,2026-06-18
