"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",25-34,female,4262,10756,154,3,281,THB,1795.05,10,,6,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",25-34,female,5704,10292,274,12,480,THB,1571.33798212,16,,6,4,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",25-34,female,8735,19906,1684,,14,THB,1335.88694735,807,,5,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",25-34,female,14906,25719,404,1,71,THB,1332.6147689,338,,5,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",25-34,male,9077,20757,1586,1,17,THB,1239.54923482,731,,3,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",35-44,female,3349,5102,105,3,181,THB,928.36261708,9,,1,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",25-34,male,8101,15784,283,1,53,THB,907.28963015,234,,1,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",25-34,male,2420,5815,77,11,91,THB,902.57,5,1,1,1,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,female,1916,4232,61,8,108,THB,888.97,4,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels |  1-15 Mar 2026",25-34,male,13079,19518,2427,,870,THB,838.91198757,881,,,1,,2026-03-01,2026-03-31
