"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",65+,male,6136,9712,125,16,153,THB,1445.65771722,16,,,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",25-34,male,23900,31545,1627,23,385,THB,1418.14596474,18,,2,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",25-34,female,14776,31143,1665,,1199,THB,1396.92802486,1547,5,44,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",65+,female,5952,8925,139,20,175,THB,1292.96950884,16,1,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",25-34,male,12321,25230,1463,,1255,THB,1239.78937193,1356,1,24,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",25-34,male,7660,11244,133,17,164,THB,1200.14451866,18,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",65+,female,7620,10291,1944,5,231,THB,1099.52237784,13,1,3,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",25-34,female,14796,21465,913,17,483,THB,1018.63146722,27,,3,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",55-64,female,17495,20033,15386,1,243,THB,998.39994216,30,1,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",35-44,female,9419,19897,1254,,1095,THB,991.5914996,1117,2,17,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",25-34,male,15788,17668,14118,,204,THB,981.83927963,21,,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",25-34,female,13722,15441,13017,1,168,THB,881.17525245,10,,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",45-54,female,7034,15361,1054,,973,THB,813.55302583,961,6,38,5,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",65+,male,6143,8184,1409,7,174,THB,806.95908432,9,,3,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",35-44,male,6906,15301,914,,802,THB,776.78334104,836,4,31,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",35-44,male,11600,13454,10859,,149,THB,760.11040911,13,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",35-44,male,13065,16817,837,5,190,THB,756.09851176,12,,2,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",55-64,male,6200,8466,94,13,106,THB,733.2994215,9,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",55-64,female,6697,9660,101,14,127,THB,729.74923064,18,,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",55-64,female,10261,13592,1283,6,192,THB,719.87810401,14,,2,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",35-44,female,9471,13270,588,8,282,THB,693.37780568,14,1,4,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",35-44,female,10042,11346,9464,1,132,THB,654.73619349,12,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",25-34,female,4452,7108,96,7,164,THB,651.70503506,34,,3,2,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",65+,female,10971,12518,9738,,166,THB,620.23481322,11,,3,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",45-54,female,10509,11505,9094,,142,THB,614.56458638,28,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",55-64,male,10912,12111,8862,,130,THB,588.65354978,15,1,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",45-54,female,8499,10911,638,5,213,THB,570.23641942,16,3,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",45-54,male,4506,9936,666,,591,THB,557.33522225,583,11,25,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",35-44,male,4478,6256,69,4,86,THB,544.18925511,18,,2,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",45-54,male,9726,10433,7903,,106,THB,538.68155059,10,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",45-54,female,3812,5737,69,6,87,THB,494.78659927,14,,,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",55-64,female,4069,8301,599,,553,THB,477.04591053,518,7,34,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",55-64,male,7708,10093,924,5,119,THB,464.26522645,8,,2,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",35-44,female,2859,4701,66,4,113,THB,446.77401816,23,,3,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",45-54,male,4037,5632,64,3,70,THB,435.31340204,18,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",45-54,male,7712,9897,654,5,107,THB,425.8147936,4,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",65+,male,6407,7140,5279,1,98,THB,340.66362865,5,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",65+,female,2752,5367,369,,341,THB,282.45757864,332,4,7,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",55-64,male,2228,4858,315,,287,THB,268.76769599,279,2,9,1,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",65+,male,1396,3007,174,,144,THB,151.88869794,139,,28,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",25-34,unknown,238,436,20,,14,THB,20.73982221,19,,1,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",35-44,unknown,38,61,2,,1,THB,13.02069998,2,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",35-44,unknown,106,228,11,,11,THB,12.69989113,11,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",25-34,unknown,183,284,11,,8,THB,11.02012406,1,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",25-34,unknown,131,144,114,,3,THB,7.77031086,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",35-44,unknown,89,119,4,,0,THB,5.77006496,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",45-54,unknown,42,72,3,,3,THB,5.55995234,3,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",35-44,unknown,83,90,77,,0,THB,5.15020604,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",25-34,unknown,57,76,,,0,THB,5.12027526,,,,,,2026-05-01,2026-05-31
